Terminales,Profundidad,Ancho_de_Banda
16,5,23.26
16,10,13.11
16,17,9.24
16,26,5.39
16,22,7.07
16,14,9.20
16,27,6.33
16,6,19.23
16,6,19.23
16,14,9.20
16,13,10.28
16,9,16.00
16,13,10.28
16,7,20.51
16,15,8.60
16,21,5.97
16,27,6.33
16,29,5.51
16,26,5.39
16,21,5.97
16,11,12.50
16,5,23.26
16,6,19.23
16,19,6.77
16,18,6.73
16,11,12.50
16,13,10.28
16,21,5.97
16,12,10.05
16,6,19.23
16,23,5.95
16,22,7.07
16,6,19.23
16,30,5.11
