Dispositivos,Profundidad,Retardo
16,5,521.0
16,6,577.0
16,7,598.0
16,9,718.0
16,10,739.0
16,11,803.0
16,12,915.0
16,13,936.0
16,14,999.0
16,15,1082.0
16,17,1170.0
16,18,1287.0
16,19,1348.0
16,21,1510.0
16,22,1515.0
16,23,1517.0
16,26,1830.0
16,27,1855.0
16,29,1975.0
16,30,2033.0
