Terminales,Profundidad,BW
32,32,89
29,30,105
24,32,118
26,28,125
32,20,142
16,32,178
22,22,188
24,20,189
28,17,192
25,19,192
13,32,219
19,21,228
29,13,242
30,12,252
32,10,284
10,31,294
23,13,304
16,18,316
13,21,334
12,22,346
10,26,351
8,32,356
24,10,378
17,13,412
16,10,568
8,20,569
7,22,592
4,32,713
9,14,723
11,11,754
8,10,1136
4,20,1140
7,10,1298
6,10,1518
4,12,1899
4,10,2277
